id;first_name;last_name;email;class_level;pointe_shoe_brand;pointe_shoe_size
1;Maximo;Kihn;Nikita78@gmail.com;63112;Accountability Pre-emptive;12837
2;Raphael;Gottlieb;Justina.Koch14@gmail.com;18955;Plastic;69503
3;Braden;Murazik;Annabell.Bechtelar45@hotmail.com;90402;service-desk generate;25282
4;Austyn;Johnson;Myrtis16@gmail.com;38311;Fundamental collaboration firmware;1580
5;Allen;O'Connell;Keon_Schaden56@gmail.com;95475;bypassing;13153
6;Juliet;Wunsch;Walker64@yahoo.com;48092;Lock;95121
7;Royce;Renner;Elsa.Wunsch93@hotmail.com;45667;azure;89267
8;Retha;Hermann;Jaron.Langworth26@yahoo.com;50787;Borders;32548
9;Saige;Marks;Leone_Larkin92@gmail.com;9670;methodologies auxiliary;42994
10;Vada;Feeney;Zaria_Powlowski@hotmail.com;4965;efficient;29300
